date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2026-02-26,,0.153,amc,4,,360954397.0,FOXF,2025
2026-02-26,,-0.0408,amc,4,,58331076.0,CTKB,2025
2026-02-26,,-0.0221,amc,4,,24563640.0,BLFS,2025
2026-02-26,,0.5049,bmo,4,,22038803.0,NREF,2025
2026-02-26,,-0.2754,amc,4,,0.0,GHRS,2025
2026-02-26,,0.6875,bmo,4,,311732400.0,INDV,2025
2026-02-26,,0.0379,amc,4,,194513663.0,REAL,2025
2026-02-26,,0.3672,amc,4,,524809125.0,TTEC,2025
2026-02-26,,-0.2508,amc,4,,7577525.0,PCT,2025
2026-02-26,,5.5328,bmo,4,,34059118758.0,VIPS,2025
2026-02-26,,-0.1918,amc,4,,105570.0,CRDF,2025
2026-02-26,,0.1689,amc,4,,215024293.0,DV,2025
2026-02-26,,0.1652,amc,4,,153106467.0,FIGR,2025
2026-02-26,,-0.269,amc,4,,164383643.0,SG,2025
2026-02-26,,-0.1392,amc,4,,46697823.0,WULF,2025
2026-02-26,,0.3791,amc,4,,283367362.0,CUBE,2025
2026-02-26,,0.537,bmo,4,,393336420.0,SMP,2025
2026-02-26,,-0.0918,amc,4,,7885620.0,CCEL,2025
2026-02-26,,-0.1559,amc,4,,1023453444.0,ALHC,2025
2026-02-26,,-0.031,amc,4,,9399212893.0,WBD,2025
2026-02-26,,0.5042,amc,4,,99106260.0,MSDL,2025
2026-02-26,,0.085,amc,4,,123247324.0,AVDX,2025
2026-02-26,,-0.4352,bmo,4,,173576796.0,CVEO,2025
2026-02-26,,-0.1088,amc,4,,5517516.0,DAIO,2025
2026-02-26,,0.816,bmo,4,,473976486.0,ACIW,2025
2026-02-26,,-0.2856,amc,4,,0.0,NVNO,2025
2026-02-26,,0.0909,amc,4,,113169081.0,AVPT,2025
2026-02-26,,0.0663,bmo,4,,59292345.0,CDRO,2025
2026-02-26,,0.0195,bmo,4,,1304445941.0,AMBP,2025
2026-02-26,,-1.4003,amc,4,,4833096.0,CRNX,2025
2026-02-26,,-0.1162,amc,4,,6060000.0,MBI,2025
2026-02-26,,-0.0533,amc,4,,620551827.0,RUN,2025
2026-02-26,,0.969,bmo,4,,1561171200.0,TIGO,2025
2026-02-26,,0.0506,amc,4,,162000820.0,OS,2025
2026-02-26,,0.3761,amc,4,,82202238.0,MFIC,2025
2026-02-26,,-0.8721,amc,4,,26242560.0,BDSX,2025
2026-02-26,,0.1122,amc,4,,78247260.0,LASR,2025
2026-02-26,,0.3987,bmo,4,,218727871.0,VITL,2025
2026-02-26,,0.3546,bmo,4,,409818150.0,SHAK,2025
2026-02-26,,-0.0137,amc,4,,75327329.0,EB,2025
2026-02-26,,-0.1282,amc,4,,262607078.0,MARA,2025
2026-02-26,,0.8568,amc,4,,92259000.0,WLDN,2025
2026-02-26,,2.6927,amc,4,,1949133963.0,ADSK,2026
2026-02-26,,,,3,,,AWF,2026
2026-02-26,,0.1938,amc,4,,69972000.0,PBYI,2025
2026-02-26,,0.1402,bmo,4,,673532703.0,PLTK,2025
2026-02-26,,2.3725,bmo,4,,210489240.0,COLL,2025
2026-02-26,,0.8975,bmo,2,,907727400.0,DCI,2026
2026-02-26,,0.1663,amc,4,,169278353.0,GDEN,2025
2026-02-26,,0.9225,amc,4,,204432306.0,PCRX,2025
2026-02-26,,-0.3891,bmo,4,,58190775.0,PHAT,2025
2026-02-26,,0.1291,amc,4,,171639470.0,IAS,2025
2026-02-26,,0.3502,amc,4,,13538796.0,GECC,2025
2026-02-26,,-0.1714,amc,4,,24735000.0,ALDX,2025
2026-02-26,,0.0,,4,,14349070.0,CTM,2025
2026-02-26,,0.2947,amc,4,,359027250.0,BWIN,2025
2026-02-26,,0.5993,bmo,4,,448945000.0,KOP,2025
2026-02-26,,0.9307,amc,4,,725624400.0,ACA,2025
2026-02-26,,-0.299,amc,4,,17730996.0,PSNL,2025
2026-02-26,,0.0524,amc,4,,36249525.0,EXFY,2025
2026-02-26,,0.7373,bmo,4,,335657673.0,GCT,2025
2026-02-26,,-0.153,amc,4,,62617800.0,TMCI,2025
2026-02-26,,,,4,,,NTIP,2025
2026-02-26,,0.3035,amc,4,,60974988.0,OSPN,2025
2026-02-26,,-0.0918,bmo,4,,654330.0,ARBE,2025
2026-02-26,,9.8011,bmo,4,,33351332700.0,BIDU,2025
2026-02-26,,-0.0682,amc,4,,2106498016.0,SPR,2025
2026-02-26,,2.7899,bmo,4,,750549099.0,IBP,2025
2026-02-26,,0.2294,amc,4,,537377711.0,CON,2025
2026-02-26,,0.0627,amc,4,,61356070.0,DH,2025
2026-02-26,,1.5082,amc,4,,416480728.0,MASI,2025
2026-02-26,,-0.3264,amc,4,,4692000.0,SEER,2025
2026-02-26,,0.0147,bmo,4,,99556528.0,MNKD,2025
2026-02-26,,0.1538,bmo,4,,188602692.0,ECVT,2025
2026-02-26,,4.5858,bmo,4,,1505383254.0,BLD,2025
2026-02-26,,-0.0612,amc,4,,1720920417.0,COMP,2025
2026-02-26,,-0.0612,amc,4,,46858800.0,NRDY,2025
2026-02-26,,0.4359,bmo,4,,790948800.0,NOMD,2025
2026-02-26,,-0.5036,amc,4,,1579009072.0,CRWV,2025
2026-02-26,,0.0875,amc,4,,2277953899.0,RKT,2025
2026-02-26,,-0.0172,bmo,4,,6968850941.0,IQ,2025
2026-02-26,,0.2227,bmo,4,,187121723.0,CARS,2025
2026-02-26,,-0.2193,bmo,4,,29452500.0,ANIK,2025
2026-02-26,,6.7484,bmo,4,,4325992610.0,EME,2025
2026-02-26,,-0.4529,amc,4,,4409715.0,AEVA,2025
2026-02-26,,0.0408,,4,,10608000.0,AISP,2025
2026-02-26,,10.3428,amc,4,,3946063800.0,BWMX,2025
2026-02-26,,-1.0108,bmo,4,,0.0,MLTX,2025
2026-02-26,,1.2107,bmo,4,,4194076641.0,SRE,2025
2026-02-26,,-0.0942,amc,4,,182040848.0,RKLB,2025
2026-02-26,,0.7582,bmo,4,,270435996.0,ROCK,2025
2026-02-26,,-0.8228,bmo,4,,57092970.0,RYTM,2025
2026-02-26,,2.1087,amc,3,,1732671582.0,NTAP,2026
2026-02-26,,-0.0676,bmo,4,,3841105.0,QBTS,2025
2026-02-26,,0.0556,amc,4,,275840090.0,DRH,2025
2026-02-26,,2.3211,bmo,4,,1005691950.0,MIDD,2025
2026-02-26,,0.9584,bmo,4,,1924261655.0,KBR,2025
2026-02-26,,0.2103,bmo,4,,653650629.0,CELH,2025
2026-02-26,,0.9763,bmo,4,,223315646.0,DCO,2025
2026-02-26,,2.2912,bmo,3,,2339155889.0,SJM,2026
2026-02-26,,-0.0357,amc,4,,5780340.0,BRFH,2025
2026-02-26,,-0.0204,bmo,4,,40323996.0,HRTX,2025
2026-02-26,,0.2915,bmo,4,,696953530.0,VYX,2025
2026-02-26,,-0.2482,amc,4,,0.0,INMB,2025
2026-02-26,,0.3218,bmo,1,,3101393870.0,HRL,2026
2026-02-26,,,amc,4,,,SIGA,2025
2026-02-26,,-0.0938,amc,4,,9910320.0,TKNO,2025
2026-02-26,,1.6934,amc,4,,193415000.0,AGO,2025
2026-02-26,,2.5036,bmo,4,,5457715072.0,VST,2025
2026-02-26,,,,4,,,PUBC,2025
2026-02-26,,-0.8102,amc,4,,4615500.0,VRCA,2025
2026-02-26,,-0.2651,bmo,4,,407537525.0,TWI,2025
2026-02-26,,0.0843,bmo,4,,187040890.0,MCS,2025
2026-02-26,,0.0714,bmo,4,,10347900.0,OXSQ,2025
2026-02-26,,6.783,amc,4,,375783300.0,CABO,2025
2026-02-26,,0.1606,amc,4,,119955074.0,SPT,2025
2026-02-26,,0.1141,bmo,4,,105256492.0,CERT,2025
2026-02-26,,-0.5202,amc,4,,,LSTA,2025
2026-02-26,,0.0222,amc,4,,168407100.0,FIGS,2025
2026-02-26,,,,4,,,HKD,2025
2026-02-26,,-0.0816,amc,4,,63822420.0,FLNT,2025
2026-02-26,,0.1973,bmo,4,,130581165.0,LOAR,2025
2026-02-26,,-1.2112,amc,4,,0.0,XENE,2025
2026-02-26,,,,1,,,NRT,2026
2026-02-26,,0.0202,bmo,4,,52851785.0,DSX,2025
2026-02-26,,0.2104,bmo,4,,1539210702.0,PRMB,2025
2026-02-26,,-0.0678,amc,4,,141154711.0,OPK,2025
2026-02-26,,0.0123,bmo,4,,453348398.0,CCO,2025
2026-02-26,,3.9663,bmo,4,,5575944814.0,LNG,2025
2026-02-26,,-0.343,amc,4,,61148428.0,KIDS,2025
2026-02-26,,-0.7926,amc,4,,0.0,SYRE,2025
2026-02-26,,0.0316,bmo,4,,394449300.0,DNUT,2025
2026-02-26,,-0.5202,bmo,4,,2020298384.0,HTZ,2025
2026-02-26,,-0.016,amc,4,,55069463.0,SOUN,2025
2026-02-26,,0.0357,bmo,4,,576845893.0,PRVA,2025
2026-02-26,,0.1061,bmo,4,,94990500.0,PRM,2025
2026-02-26,,0.2448,amc,4,,247995323.0,OPRT,2025
2026-02-26,,0.2596,amc,4,,39591871.0,ASUR,2025
2026-02-26,,-0.1827,bmo,4,,95747655.0,EOSE,2025
2026-02-26,,0.4293,bmo,4,,48232550.0,ACU,2025
2026-02-26,,0.4223,bmo,4,,31086203.0,PSBD,2025
2026-02-26,,-0.0112,amc,4,,76734875.0,PUBM,2025
2026-02-26,,-0.7777,amc,4,,0.0,DYN,2025
2026-02-26,,0.4366,bmo,4,,50545590.0,NCDL,2025
2026-02-26,,,bmo,4,,,SOHO,2025
2026-02-26,,0.3116,bmo,4,,193261613.0,FLOC,2025
2026-02-26,,1.622,bmo,4,,1233658196.0,FOUR,2025
2026-02-26,,0.8163,bmo,4,,438213868.0,IART,2025
2026-02-26,,0.2836,amc,4,,945623058.0,XRAY,2025
2026-02-26,,0.5438,bmo,4,,3603030833.0,VTRS,2025
2026-02-26,,1.0167,bmo,4,,1367337373.0,HGV,2025
2026-02-26,,0.0204,amc,4,,29926800.0,KVHI,2025
2026-02-26,,0.0554,bmo,4,,217367732.0,WRBY,2025
2026-02-26,,1.3848,amc,4,,1170012828.0,NATL,2025
2026-02-26,,2.4981,amc,4,,1367566593.0,BCO,2025
2026-02-26,,0.718,bmo,4,,2709342301.0,PEG,2025
2026-02-26,,0.1346,amc,4,,430055796.0,FTDR,2025
2026-02-26,,0.1416,bmo,4,,78845044.0,KRP,2025
2026-02-26,,0.1686,amc,4,,139451595.0,ARLO,2025
2026-02-26,,-0.5117,amc,4,,0.0,DFTX,2025
2026-02-26,,0.4407,bmo,4,,514009200.0,WWW,2025
2026-02-26,,0.8384,bmo,4,,595525296.0,ENOV,2025
2026-02-26,,1.5255,amc,4,,1999749882.0,SOLV,2025
2026-02-26,,0.215,amc,4,,70855830.0,INOD,2025
2026-02-26,,,,4,,,SPRS,2025
2026-02-26,,-0.2958,amc,4,,499352016.0,ALTG,2025
2026-02-26,,-0.356,bmo,4,,596500284.0,TDAY,2025
2026-02-26,,0.8095,bmo,4,,1123910796.0,PRGO,2025
2026-02-26,,-0.5958,amc,4,,65247023.0,SNDX,2025
2026-02-26,,0.3483,bmo,4,,525301968.0,PZZA,2025
2026-02-26,,-0.4197,bmo,4,,176821804.0,NVCR,2025
2026-02-26,,0.0379,amc,4,,117896512.0,PAR,2025
2026-02-26,,0.3582,amc,4,,124820664.0,ARIS,2025
2026-02-26,,0.3863,bmo,4,,2015077240.0,LKNCY,2025
2026-02-26,,-0.1326,amc,4,,8654770.0,SMR,2025
2026-02-26,,0.3978,bmo,4,,92944735.0,VCEL,2025
2026-02-26,,0.0493,bmo,4,,154352632.0,BCRX,2025
2026-02-26,,1.2703,bmo,4,,353972550.0,WD,2025
2026-02-26,,0.4984,amc,4,,802679483.0,NEXA,2025
2026-02-26,,3.8682,amc,4,,740668624.0,SBAC,2025
2026-02-26,,0.593,bmo,4,,1182246300.0,Q,2025
2026-02-26,,-0.1803,bmo,4,,281915635.0,DQ,2025
2026-02-26,,,,4,,,RMT,2025
2026-02-26,,-0.9646,bmo,4,,193535190.0,HPP,2025
2026-02-26,,1.965,amc,4,,3749659592.0,MTZ,2025
2026-02-26,,0.9102,amc,4,,241554564.0,EVTC,2025
2026-02-26,,1.5926,bmo,4,,56700667.0,LGND,2025
2026-02-26,,-0.2783,amc,4,,80628817.0,CSTL,2025
2026-02-26,,0.0056,amc,4,,76236819.0,MP,2025
2026-02-26,,,,4,,,CAWW,2025
2026-02-26,,,,4,,,AUST,2025
2026-02-26,,-0.0077,bmo,4,,49340664.0,AKBA,2025
2026-02-26,,0.1479,amc,4,,313602774.0,PGNY,2025
2026-02-26,,0.0589,bmo,4,,288361242.0,PAYO,2025
2026-02-26,,0.1576,amc,4,,614206684.0,AHR,2025
2026-02-26,,-0.9588,amc,4,,0.0,AKRO,2025
2026-02-26,,1.1926,bmo,4,,375176063.0,LNTH,2025
2026-02-26,,,,4,,,FCUV,2025
2026-02-26,,0.0325,amc,4,,9340049475.0,CPNG,2025
2026-02-26,,0.1634,bmo,4,,678526542.0,FTRE,2025
2026-02-26,,1.4416,amc,4,,328677996.0,STRA,2025
2026-02-26,,,amc,4,,,HEPS,2025
2026-02-26,,0.6641,amc,4,,6321912301.0,XYZ,2025
2026-02-26,,0.0513,amc,4,,69331266.0,VTEX,2025
2026-02-26,,,bmo,4,,,QVCGA,2025
2026-02-26,,0.9407,amc,4,,194289600.0,AMPH,2025
2026-02-26,,,,4,,,NRBT,2025
2026-02-26,,3.7396,amc,2,,4622756871.0,INTU,2026
2026-02-26,,-0.0357,amc,4,,714000.0,ABUS,2025
2026-02-26,,-0.1285,amc,4,,31140600.0,MDXH,2025
2026-02-26,,0.505,amc,4,,219574000.0,HTO,2025
2026-02-26,,0.0102,bmo,4,,76890660.0,ABTC,2025
2026-02-26,,-0.1428,bmo,4,,0.0,NAUT,2025
2026-02-26,,0.0957,amc,4,,358335812.0,ARHS,2025
2026-02-26,,0.359,amc,4,,89125223.0,GSBD,2025
2026-02-26,,0.4539,bmo,4,,1554140003.0,VISN,2025
2026-02-26,,0.8535,amc,4,,339440547.0,TDW,2025
2026-02-26,,-0.4115,amc,4,,5064871.0,RLAY,2025
2026-02-26,,0.8156,amc,4,,95064563.0,NHI,2025
2026-02-26,,-0.0221,amc,4,,74911962.0,XPOF,2025
2026-02-26,,0.002,bmo,4,,144543120.0,TRS,2025
2026-02-26,,2.1114,bmo,4,,194352156.0,CRAI,2025
2026-02-26,,0.408,bmo,4,,246112566.0,ACMR,2025
2026-02-26,,0.3701,amc,4,,36687186.0,MSIF,2025
2026-02-26,,-0.5305,amc,4,,604264860.0,NTRA,2025
2026-02-26,,-0.2264,bmo,4,,37796610.0,BKSY,2025
2026-02-26,,0.2626,bmo,4,,385640654.0,BSY,2025
2026-02-26,,0.2727,amc,4,,73879480.0,BFS,2025
2026-02-26,,0.6589,amc,3,,447061369.0,ESTC,2026
2026-02-26,,0.0356,bmo,4,,331440432.0,HGTY,2025
2026-02-26,,0.6522,bmo,4,,1159240125.0,DFH,2025
2026-02-26,,,,4,,,CBFC,2025
2026-02-25,,-3.1916,amc,4,,139885000.0,FAT,2025
2026-02-25,,0.5281,bmo,4,,82327770.0,TRIN,2025
2026-02-25,,0.041,bmo,4,,1182105343.0,PNW,2025
2026-02-25,,-0.3876,bmo,4,,95574000.0,CSTE,2025
2026-02-25,,-0.2448,amc,4,,20731836.0,SITC,2025
2026-02-25,,0.1795,bmo,4,,548472360.0,TBLA,2025
2026-02-25,,0.2499,amc,4,,1590193260.0,SARO,2025
2026-02-25,,-1.0433,amc,4,,36992003.0,RCUS,2025
2026-02-25,,0.5176,amc,4,,334265125.0,KGS,2025
2026-02-25,,1.284,amc,1,,1179664405.0,HEI,2026
2026-02-25,,-0.0816,,4,,8466000.0,USEA,2025
2026-02-25,,0.3355,bmo,4,,387994362.0,ALKS,2025
2026-02-25,,-0.4345,amc,4,,14792040.0,CARL,2025
2026-02-25,,0.1717,amc,4,,184891175.0,NSA,2025
2026-02-25,,0.0102,bmo,2,,192780000.0,MANU,2026
2026-02-25,,0.3529,bmo,4,,133243875.0,GLNG,2025
2026-02-25,,0.1996,bmo,4,,755431125.0,CTRI,2025
2026-02-25,,-0.0017,bmo,4,,383831895.0,LFST,2025
2026-02-25,,-0.0644,amc,4,,717.0,ALT,2025
2026-02-25,,-0.0184,amc,4,,163256100.0,SKYT,2025
